Year,Round,StartDate
2025,Round 1,2025-03-24
2025,Round 2,2025-03-31
2025,Round 3,2025-04-07
2025,Round 4,2025-04-14
2025,Round 5,2025-04-21
2025,Round 6,2025-04-28
2025,Round 7,2025-05-05
2025,Round 8,2025-05-12
2025,Round 9,2025-05-19
2025,Round 10,2025-05-26
2025,Round 11,2025-06-02
2025,Round 12,2025-06-09
2025,Round 13,2025-06-16
2025,Round 14,2025-06-23
2025,Round 15,2025-06-30
2025,Round 16,2025-07-07
2025,Round 17,2025-07-14
2025,Round 18,2025-07-21
2025,Qualifying Final,2025-07-28
2025,Semi-Final,2025-08-04
2025,Preliminary Final,2025-08-11
2025,Grand Final,2025-08-18